Ekin,Eterm,Epot,Eint,E,T,P,r1,r2,r12_abs,U12,F12,F1,Step
2616.1277657,1355.7627657,-0.69566199,1355.06710371,2615.43210371,327.32510319,56.41800641,,,0.5,-0.69566199,-6.92244775,,0
2616.15714676,1355.79214676,-0.73277265,1355.0593741,2615.4243741,327.33219673,56.41653068,,,0.49585136,-0.73277265,-7.24172889,,1
2616.1878754,1355.8228754,-0.77211278,1355.05076262,2615.41576262,327.33961562,56.41505436,,,0.49170267,-0.77211278,-7.57193699,,2
2616.21999587,1355.85499587,-0.81383483,1355.04116104,2615.40616104,327.34737055,56.41358771,,,0.48755393,-0.81383483,-7.91252281,,3
2616.25354964,1355.88854964,-0.85810252,1355.03044712,2615.39544712,327.35547152,56.41214311,,,0.48340515,-0.85810252,-8.26269696,,4
2616.2885743,1355.9235743,-0.90509163,1355.01848267,2615.38348267,327.3639276,56.41073539,,,0.47925631,-0.90509163,-8.62137837,,5
2616.32510223,1355.96010223,-0.95499072,1355.0051115,2615.3701115,327.37274663,56.40938231,,,0.47510741,-0.95499072,-8.98713274,,6
2616.36315896,1355.99815896,-1.00800193,1354.99015704,2615.35515704,327.38193476,56.40810504,,,0.47095846,-1.00800193,-9.35809902,,7
2616.40276127,1356.03776127,-1.06434159,1354.97341968,2615.33841968,327.39149604,56.40692872,,,0.46680945,-1.06434159,-9.73190189,,8
2616.44391478,1356.07891478,-1.1242409,1354.95467387,2615.31967387,327.40143183,56.40588319,,,0.46266038,-1.1242409,-10.10554711,,9
2616.48661114,1356.12161114,-1.18794623,1354.93366491,2615.29866491,327.41174012,56.40500377,,,0.45851125,-1.18794623,-10.47529678,,10
2616.53082467,1356.16582467,-1.25571931,1354.91010536,2615.27510536,327.4224147,56.4043322,,,0.45436204,-1.25571931,-10.83652037,,11
2616.57650823,1356.21150823,-1.32783685,1354.88367138,2615.24867138,327.43344419,56.4039178,,,0.45021277,-1.32783685,-11.18351675,,12
2616.62358837,1356.25858837,-1.40458967,1354.8539987,2615.2189987,327.44481087,56.40381871,,,0.44606343,-1.40458967,-11.50930154,,13
2616.67195946,1356.30695946,-1.48628076,1354.8206787,2615.1856787,327.45648922,56.4041035,,,0.44191402,-1.48628076,-11.80535289,,14
2616.7214767,1356.3564767,-1.5732222,1354.7832545,2615.1482545,327.46844428,56.40485294,,,0.43776453,-1.5732222,-12.06130721,,15
2616.77194769,1356.40694769,-1.66573004,1354.74121764,2615.10621764,327.48062962,56.40616216,,,0.43361496,-1.66573004,-12.26459482,,16
2616.82312235,1356.45812235,-1.76411664,1354.6940057,2615.0590057,327.49298484,56.4081432,,,0.42946531,-1.76411664,-12.40000334,,17
2616.87468091,1356.50968091,-1.86867924,1354.64100167,2615.00600167,327.50543275,56.41092797,,,0.42531559,-1.86867924,-12.4491538,,18
2616.92621943,1356.56121943,-1.97968321,1354.58153622,2614.94653622,327.51787582,56.41467185,,,0.42116579,-1.97968321,-12.38987171,,19
2616.97723247,1356.61223247,-2.09733791,1354.51489455,2614.87989455,327.53019202,56.41955784,,,0.41701591,-2.09733791,-12.19543091,,20
2617.02709229,1356.66209229,-2.22176199,1354.4403303,2614.8053303,327.5422298,56.42580158,,,0.41286595,-2.22176199,-11.83364369,,21
2617.07502394,1356.71002394,-2.3529339,1354.35709004,2614.72209004,327.55380205,56.4336573,,,0.40871592,-2.3529339,-11.26576453,,22
2617.12007525,1356.75507525,-2.4906215,1354.26445375,2614.62945375,327.5646789,56.44342485,,,0.40456581,-2.4906215,-10.44516765,,23
2617.16108083,1356.79608083,-2.63428201,1354.16179882,2614.52679882,327.57457898,56.45545812,,,0.40041564,-2.63428201,-9.31574971,,24
